ean,produto,codshopfarma,preco_shopfarma,link_preco_popular,cod_preco_popular,preco_preco_popular,link_raia,cod_raia,preco_raia,link_paguemenos,cod_paguemenos,preco_paguemenos,link_saojoao,cod_saojoao,preco_saojoao
7891317129941,   20 BI 335MG 10CAP,18717,87.99,https://www.precopopular.com.br/20-bi-335mg-com-10-capsulas/p,727488,82.95,,,,,,,https://www.saojoaofarmacias.com.br/20bi-10cap-momenta/p,,74.39
7891317129958,   20 BI 335MG 30CAP,122060,181.9,https://www.precopopular.com.br/20-bi-335mg-com-30-capsulas/p,727489,207.95,,,,,,,https://www.saojoaofarmacias.com.br/20bi-30cap-momenta/p,,175.59
7891317019297,   20 BI 335MG 5CAP,54135,59.99,,,,https://drogaraia.com.br/20-bi-antidiarreico-5-capsulas.html,40038,55.83,https://www.paguemenos.com.br/20bi-com-5-capsulas-novo/p,95204,55.25,,,
7896004817477,   A SAUDE DA MULHER LIQ 150ML,107541,16.5,https://www.precopopular.com.br/saude-da-mulher-solucao-oral-150ml/p,531815,17.99,,,,https://www.paguemenos.com.br/saude-mulher-150ml/p,4411,19.15,https://www.saojoaofarmacias.com.br/a-saude-da-mulher-150ml-ems/p,,18.51
7897595901927,   AAS 100MG 120CP,104826,82.0,https://www.precopopular.com.br/a-a-s-infantil-com-120-comprimidos/p,691679,75.18,,,,https://www.paguemenos.com.br/aas-100mg-infantil-com-120-comprimidos/p,17084,79.35,https://www.saojoaofarmacias.com.br/aas-100mg-120-comprimidos-infantil-medley/p,,65.69
7897595900029,   AAS 100MG 30CP,2219,21.29,https://www.precopopular.com.br/a-a-s-infantil-com-30-comprimidos/p,702813,20.37,https://drogaraia.com.br/aas-100-mg-infantil-30-comprimidos.html,44660,20.09,https://www.paguemenos.com.br/aas-100mg-infantil-com-30-comprimidos/p,7619,21.85,https://www.saojoaofarmacias.com.br/aas-100mg-30-comprimidos-infantil-medley/p,,19.39
7896094922440,   AAS 100MG ENV 10CP,3425,7.25,,,,,,,,,,,,
7897595900593,   AAS 100MG ENV 10CP,139766,8.9,https://www.precopopular.com.br/a-a-s-infantil-com-10-comprimidos/p,181,7.33,,,,https://www.paguemenos.com.br/aas-100mg-infantil-envelope-com-10-comprimidos-sanofi/p,2663,7.45,,,
7897595900012,   AAS 500MG 20CP,126861,4.0,,,,,,,,,,,,
7897595903693,   AAS PROTECT 100MG 30CP REV L.E,8643,20.7,https://www.precopopular.com.br/a-a-s-protect-100mg-com-30-comprimidos/p,706144,18.55,https://drogaraia.com.br/aas-protect-100mg-30-comprimidos-revestidos.html,69639,16.79,https://www.paguemenos.com.br/aas-protect-100mg-com-30-comprimidos/p,28964,19.05,https://www.saojoaofarmacias.com.br/aas-protect-100mg-30-comprimidos-revestidos-medley/p,,18.09
